DarwinCore,BL
recordNumber,Collection_number
recordedBy,INLINE
eventDate,Date_digital_ymd
startDayOfYear,INLINE
endDayOfYear,INLINE
year,Date_digital_yr
month,Date_digital_mo
day,Date_digital_day
verbatimEventDate,Date_digital_ymd
habitat,INLINE
continent,INLINE
country,Country
countryCode,INLINE
stateProvince,State
county,County
locality,Site
verbatimLocality,INLINE
verbatimElevation,INLINE
decimalLatitude,latitude_dd
decimalLongitude,longitude_dd
geodeticDatum,Datum
coordinateUncertaintyInMeters,Coordinate_Uncertainty
coordinatePrecision,INLINE
verbatimLatitude,latitude_dd
verbatimLongitude,longitude_dd
verbatimCoordinateSystem,Datum
identifiedBy,Determined_by
dateIdentified,Determined_date_ymd
identificationReferences,Fide
scientificName,Name_authority
family,Family
genus,Genus
specificEpithet,Epithet
infraspecificEpithet,Infraspecies
taxonRank,INLINE
verbatimTaxonRank,INLINE
scientificNameAuthorship,INLINE
nomenclaturalCode,INLINE
